instance,solver,n_jobs,n_machines,n_resources,makespan,time_s,valid,error
instance1_bottleneck_scaled,EarliestStart,22,5,1,111,0.0243,True,
instance1_bottleneck_scaled,Greedy LPT,22,5,1,110,0.0028,True,
instance1_bottleneck_scaled,Genetic,22,5,1,110,24.6769,True,
instance1_bottleneck_scaled,SimulatedAnnealing,22,5,1,110,2.524,True,
instance2_high_contention_scaled,EarliestStart,20,5,20,40,0.0095,True,
instance2_high_contention_scaled,Greedy LPT,20,5,20,40,0.0016,True,
instance2_high_contention_scaled,Genetic,20,5,20,40,15.4834,True,
instance2_high_contention_scaled,SimulatedAnnealing,20,5,20,40,1.5047,True,
instance3_rock_sand_scaled,EarliestStart,25,5,1,200,0.0098,True,
instance3_rock_sand_scaled,Greedy LPT,25,5,1,200,0.0015,True,
instance3_rock_sand_scaled,Genetic,25,5,1,200,13.6084,True,
instance3_rock_sand_scaled,SimulatedAnnealing,25,5,1,200,1.3444,True,
instance4_irrelevant_scaled,EarliestStart,25,5,1,107,0.0222,True,
instance4_irrelevant_scaled,Greedy LPT,25,5,1,94,0.0025,True,
instance4_irrelevant_scaled,Genetic,25,5,1,93,21.9371,True,
instance4_irrelevant_scaled,SimulatedAnnealing,25,5,1,94,2.2339,True,
instance5_greedy_killer_scaled,EarliestStart,21,2,1,55,0.0026,True,
instance5_greedy_killer_scaled,Greedy LPT,21,2,1,55,0.0006,True,
instance5_greedy_killer_scaled,Genetic,21,2,1,55,5.7532,True,
instance5_greedy_killer_scaled,SimulatedAnnealing,21,2,1,55,0.5729,True,
